Topic,Count,Name,Representation,Representative_Docs
9,912,9_room_noise_roommate_night,"['room', 'noise', 'roommate', 'night', 'anime', 'sleep', 'frat court', 'dorm', 'frat', 'court']","['is unc accepting of anime body pillows? most', 'is unc accepting of anime body pillows? (๑•́ㅿ•̀๑)ᔆᵒʳʳᵞ', 'again, no sleep from frat court noise no i am not and have never even been to one before.']"
10,614,10_chancellor_roberts_fema_relief,"['chancellor', 'roberts', 'fema', 'relief', 'fema relief', 'permanent chancellor', 'named', 'roberts named', 'named permanent', 'permanent']","['roberts named permanent chancellor better than being shot...', 'roberts named permanent chancellor ugh let’s not.', 'roberts named permanent chancellor yikes. that’s all.']"
11,612,11_streaking_tracker_guy_52,"['streaking', 'tracker', 'guy', '52', 'going 52', 'nights streaking', 'going', 'naked', 'nights', 'heels']","['going to be a tarheel at 52 thank you!!', 'is the fall 2025 naked run happening??', 'going to be a tarheel at 52 \U0001fa75\U0001fa75']"
12,401,12_dog_battle park_battle_park,"['dog', 'battle park', 'battle', 'park', 'attack', 'dog tried', 'tried attack', 'attack battle', 'tried', 'cat']","['dog tried to attack me at battle park ![gif](giphy|ynmesq9icsyq8)', 'dog tried to attack me at battle park', 'dog tried to attack me at battle park k well that’s enough of that']"
13,408,13_textbook_book_books_textbooks,"['textbook', 'book', 'books', 'textbooks', 'gideon', 'gideon ninth', 'queers checked', 'checked gideon', 'whichever queers', 'ninth']","['to whichever one of you queers checked out gideon the ninth how did you get that flair?', 'to whichever one of you queers checked out gideon the ninth thanks!', 'to whichever one of you queers checked out gideon the ninth this is the way.']"
14,361,14_survey_majors_stereotypes_roasts welcome,"['survey', 'majors', 'stereotypes', 'roasts welcome', 'tasteful roasts', 'different majors', 'tasteful', 'roasts', 'stereotypes different', 'majors tasteful']","['what are the stereotypes for different majors? tasteful roasts are welcome. real', 'what are the stereotypes for different majors? tasteful roasts are welcome.', 'what are the stereotypes for different majors? tasteful roasts are welcome. 😂']"
15,287,15_bachelors_covid_md_dad,"['bachelors', 'covid', 'md', 'dad', 'yes', 'md foreign', 'dad md', 'foreign country', 'yes dad', 'doesnt bachelors']","['yes or no? dad has md from foreign country, doesnt have bachelors no it doesn’t. you wouldn’t be taking anything from the university.', 'yes or no? dad has md from foreign country, doesnt have bachelors yes.', 'yes or no? dad has md from foreign country, doesnt have bachelors']"
16,273,16_refund_honor_ticket_honor court,"['refund', 'honor', 'ticket', 'honor court', 'court', 'reported', 'rescinded', 'selling ticket', 'falsely reported', 'falsely']","['falsely reported for selling ticket... how do i fix this? dm’d you', 'falsely reported for selling ticket... how do i fix this? how’s it going?', 'falsely reported for selling ticket... how do i fix this?']"
17,251,17_dump_metaphor_certainly metaphor_certainly,"['dump', 'metaphor', 'certainly metaphor', 'certainly', 'door', 'lock', 'lock door', 'toilet', 'curtain', 'bathroom']","['how do you take a dump here? just do it', 'how do you take a dump here? no, show us', 'how do you take a dump here? this is the move']"
18,167,18_lead_fountains_lights_drinking fountains,"['lead', 'fountains', 'lights', 'drinking fountains', 'drinking', 'hall', 'hamilton', 'hamilton hall', 'lead detected', 'hall drinking']","['lead detected in hamilton hall drinking fountains', ""lead detected in hamilton hall drinking fountains i'm in"", 'lead detected in hamilton hall drinking fountains here you go-']"
19,175,19_married_95_want married_married 10000,"['married', '95', 'want married', 'married 10000', '10000 year', '10000', 'stand', 'idea', 'idea 95', 'feel naive']","[""i can't stand the idea of a 9-5 but i feel naive as someone in a 9-5 tech job -- yeah, it sucks."", ""i can't stand the idea of a 9-5 but i feel naive thank you"", ""i can't stand the idea of a 9-5 but i feel naive""]"
20,114,20_taylor_taylor greenes_majorie_greenes daughter,"['taylor', 'taylor greenes', 'majorie', 'greenes daughter', 'greenes', 'majorie taylor', 'daughter student', 'daughter', 'student year', 'soldier']","['final soldier killed in black hawk collision identified as family, friends grieve i dont get it, is the person joking?', 'final soldier killed in black hawk collision identified as family, friends grieve this is so sad', 'final soldier killed in black hawk collision identified as family, friends grieve']"
21,90,21_ftw_quam_quam videre_esse,"['ftw', 'quam', 'quam videre', 'esse', 'esse quam', 'videre', 'videre ftw', 'qr', 'codes', 'qr codes']","['esse quam videre ftw watch this [', 'esse quam videre ftw this will end well.', 'esse quam videre ftw to seem rather than to be']"
22,120,22_waffles_eat_eggo_breakfast,"['waffles', 'eat', 'eggo', 'breakfast', 'eggo waffles', 'guys eat', 'day class', 'breakfast day', 'eat eggo', 'waffles breakfast']","['would you guys eat eggo waffles for breakfast every day before class if you could? (for a class survey) no they’re mid', ""would you guys eat eggo waffles for breakfast every day before class if you could? (for a class survey) no, they're not very good."", 'would you guys eat eggo waffles for breakfast every day before class if you could? (for a class survey) no']"
23,172,23_swipes_vs_meal_contact,"['swipes', 'vs', 'meal', 'contact', 'eye contact', 'eye', 'feet', 'horizon', 'vs horizon', 'vs feet']","[""eye contact vs. feet vs. the horizon what's your personal strategy?"", 'eye contact vs. feet vs. the horizon', 'eye contact vs. feet vs. the horizon me too. i still do it!']"
24,108,24_gimghoul_order_order gimghoul_active,"['gimghoul', 'order', 'order gimghoul', 'active', 'gimghoul active', 'castle', 'group', 'secret', 'facebook', 'wilson']","['is the order of gimghoul still active and what do they do? thanks', 'is the order of gimghoul still active and what do they do? [', 'is the order of gimghoul still active and what do they do?']"
25,219,25_old_bad_day_dry,"['old', 'bad', 'day', 'dry', 'realistically', 'realistically bad', 'old dry', 'dry day', 'water', 'fountain']","['realistically how bad is this? f', 'will the old well dry up one day?', 'will the old well dry up one day? this']"
26,42,26_canes_raising canes_raising_zaxbys,"['canes', 'raising canes', 'raising', 'zaxbys', 'chicken', 'sauce', 'wait', 'line', 'canes vs', 'canes canes']","['canes canes chicken has no flavor either. only thing they have over zaxby’s is the toast.', 'canes canes is pretty good but not worth this line, i’d go in two weeks', 'raising canes which makes no sense']"
27,124,27_pit_white_woman_mohammed,"['pit', 'white', 'woman', 'mohammed', 'white woman', 'woman right', 'said mohammed', 'prophet white', 'pit said', 'mohammed prophet']","['the guy in the pit said that mohammed the prophet was a white woman. is he right? i read it in a book', 'the guy in the pit said that mohammed the prophet was a white woman. is he right? can someone explain?', 'the guy in the pit said that mohammed the prophet was a white woman. is he right? could be 🤷🏼\u200d♀️']"
28,72,28_chase_playing_songs_chase playing,"['chase', 'playing', 'songs', 'chase playing', 'does chase', '78 songs', 'playing 78', 'just does', '78', 'does']","['is it just me or does chase keep playing the same 7-8 songs? eras tour vibes', 'is it just me or does chase keep playing the same 7-8 songs? i will say that is a banger of a song', 'is it just me or does chase keep playing the same 7-8 songs?']"
